id,buying,maint,doors,persons,lugboot,safety,label
1,vhigh,vhigh,2,2,small,low,negative
2,vhigh,vhigh,2,2,small,med,negative
3,vhigh,vhigh,2,2,small,high,negative
4,vhigh,vhigh,2,2,med,low,negative
5,vhigh,vhigh,2,2,med,med,negative
6,vhigh,vhigh,2,2,med,high,negative
7,vhigh,vhigh,2,2,big,low,negative
8,vhigh,vhigh,2,2,big,med,negative
9,vhigh,vhigh,2,2,big,high,negative
10,vhigh,vhigh,2,4,small,low,negative
11,vhigh,vhigh,2,4,small,med,negative
12,vhigh,vhigh,2,4,small,high,negative
13,vhigh,vhigh,2,4,med,low,negative
14,vhigh,vhigh,2,4,med,med,negative
15,vhigh,vhigh,2,4,med,high,negative
16,vhigh,vhigh,2,4,big,low,negative
17,vhigh,vhigh,2,4,big,med,negative
18,vhigh,vhigh,2,4,big,high,negative
19,vhigh,vhigh,2,more,small,low,negative
20,vhigh,vhigh,2,more,small,med,negative
21,vhigh,vhigh,2,more,small,high,negative
22,vhigh,vhigh,2,more,med,low,negative
23,vhigh,vhigh,2,more,med,med,negative
24,vhigh,vhigh,2,more,med,high,negative
25,vhigh,vhigh,2,more,big,low,negative
26,vhigh,vhigh,2,more,big,med,negative
27,vhigh,vhigh,2,more,big,high,negative
28,vhigh,vhigh,3,2,small,low,negative
29,vhigh,vhigh,3,2,small,med,negative
30,vhigh,vhigh,3,2,small,high,negative
31,vhigh,vhigh,3,2,med,low,negative
32,vhigh,vhigh,3,2,med,med,negative
33,vhigh,vhigh,3,2,med,high,negative
34,vhigh,vhigh,3,2,big,low,negative
35,vhigh,vhigh,3,2,big,med,negative
36,vhigh,vhigh,3,2,big,high,negative
37,vhigh,vhigh,3,4,small,low,negative
38,vhigh,vhigh,3,4,small,med,negative
39,vhigh,vhigh,3,4,small,high,negative
40,vhigh,vhigh,3,4,med,low,negative
41,vhigh,vhigh,3,4,med,med,negative
42,vhigh,vhigh,3,4,med,high,negative
43,vhigh,vhigh,3,4,big,low,negative
44,vhigh,vhigh,3,4,big,med,negative
45,vhigh,vhigh,3,4,big,high,negative
46,vhigh,vhigh,3,more,small,low,negative
47,vhigh,vhigh,3,more,small,med,negative
48,vhigh,vhigh,3,more,small,high,negative
49,vhigh,vhigh,3,more,med,low,negative
50,vhigh,vhigh,3,more,med,med,negative
51,vhigh,vhigh,3,more,med,high,negative
52,vhigh,vhigh,3,more,big,low,negative
53,vhigh,vhigh,3,more,big,med,negative
54,vhigh,vhigh,3,more,big,high,negative
55,vhigh,vhigh,4,2,small,low,negative
56,vhigh,vhigh,4,2,small,med,negative
57,vhigh,vhigh,4,2,small,high,negative
58,vhigh,vhigh,4,2,med,low,negative
59,vhigh,vhigh,4,2,med,med,negative
60,vhigh,vhigh,4,2,med,high,negative
61,vhigh,vhigh,4,2,big,low,negative
62,vhigh,vhigh,4,2,big,med,negative
63,vhigh,vhigh,4,2,big,high,negative
64,vhigh,vhigh,4,4,small,low,negative
65,vhigh,vhigh,4,4,small,med,negative
66,vhigh,vhigh,4,4,small,high,negative
67,vhigh,vhigh,4,4,med,low,negative
68,vhigh,vhigh,4,4,med,med,negative
69,vhigh,vhigh,4,4,med,high,negative
70,vhigh,vhigh,4,4,big,low,negative
71,vhigh,vhigh,4,4,big,med,negative
72,vhigh,vhigh,4,4,big,high,negative
73,vhigh,vhigh,4,more,small,low,negative
74,vhigh,vhigh,4,more,small,med,negative
75,vhigh,vhigh,4,more,small,high,negative
76,vhigh,vhigh,4,more,med,low,negative
77,vhigh,vhigh,4,more,med,med,negative
78,vhigh,vhigh,4,more,med,high,negative
79,vhigh,vhigh,4,more,big,low,negative
80,vhigh,vhigh,4,more,big,med,negative
81,vhigh,vhigh,4,more,big,high,negative
82,vhigh,vhigh,morethanfive,2,small,low,negative
83,vhigh,vhigh,morethanfive,2,small,med,negative
84,vhigh,vhigh,morethanfive,2,small,high,negative
85,vhigh,vhigh,morethanfive,2,med,low,negative
86,vhigh,vhigh,morethanfive,2,med,med,negative
87,vhigh,vhigh,morethanfive,2,med,high,negative
88,vhigh,vhigh,morethanfive,2,big,low,negative
89,vhigh,vhigh,morethanfive,2,big,med,negative
90,vhigh,vhigh,morethanfive,2,big,high,negative
91,vhigh,vhigh,morethanfive,4,small,low,negative
92,vhigh,vhigh,morethanfive,4,small,med,negative
93,vhigh,vhigh,morethanfive,4,small,high,negative
94,vhigh,vhigh,morethanfive,4,med,low,negative
95,vhigh,vhigh,morethanfive,4,med,med,negative
96,vhigh,vhigh,morethanfive,4,med,high,negative
97,vhigh,vhigh,morethanfive,4,big,low,negative
98,vhigh,vhigh,morethanfive,4,big,med,negative
99,vhigh,vhigh,morethanfive,4,big,high,negative
100,vhigh,vhigh,morethanfive,more,small,low,negative
101,vhigh,vhigh,morethanfive,more,small,med,negative
102,vhigh,vhigh,morethanfive,more,small,high,negative
103,vhigh,vhigh,morethanfive,more,med,low,negative
