data(p1365):buying(A,low):2.90348633382185 
data(p1365):maint(A,vhigh):-2.758883637631152 
data(p1365):doors(A,4):0.5446090158752215 
data(p1365):persons(A,4):2.6645438801316126 
data(p1365):lugboot(A,med):0.35578004502205796 
data(p1365):safety(A,high):3.6877368601737563 
data(p490):buying(A,high):-1.2229396013117941 
data(p490):maint(A,vhigh):-2.7463485214892596 
data(p490):doors(A,4):0.8145341157431427 
data(p490):persons(A,2):-2.84878374342335 
data(p490):lugboot(A,med):0.671042639087863 
data(p490):safety(A,low):-2.7217685353782373 
data(p869):buying(A,med):2.3021258859913876 
data(p869):maint(A,vhigh):-2.242447245977474 
data(p869):doors(A,2):-1.970424596356865 
data(p869):persons(A,2):-4.338150095900444 
data(p869):lugboot(A,med):0.004548541573240485 
data(p869):safety(A,med):1.1628441936788168 
data(p226):buying(A,vhigh):-1.5848597992820723 
data(p226):maint(A,med):1.877382184811948 
data(p226):doors(A,2):-1.075117667747944 
data(p226):persons(A,4):3.1800626668604823 
data(p226):lugboot(A,small):-1.3980059716254303 
data(p226):safety(A,low):-3.7562917378098555 
data(p1198):buying(A,med):1.9282825142495528 
data(p1198):maint(A,low):1.5158751155895533 
data(p1198):doors(A,2):-1.083374307155091 
data(p1198):persons(A,4):3.582316380559754 
data(p1198):lugboot(A,small):-1.2162471335512273 
data(p1198):safety(A,low):-4.305763647633388 
data(p1434):buying(A,low):1.8949633823472671 
data(p1434):maint(A,high):-0.3149801298514895 
data(p1434):doors(A,3):0.18175567879728857 
data(p1434):persons(A,2):-4.6936440835555375 
data(p1434):lugboot(A,small):-0.5849501399026852 
data(p1434):safety(A,high):3.6878404689389406 
data(p1446):buying(A,low):2.510566214141257 
data(p1446):maint(A,high):-0.5606148839604198 
data(p1446):doors(A,3):-0.6643799270499617 
data(p1446):persons(A,4):2.5264403609659754 
data(p1446):lugboot(A,med):-0.0817853303117401 
data(p1446):safety(A,high):3.8150958221824274 
data(p1012):buying(A,med):1.1261181820745183 
data(p1012):maint(A,high):-1.0955223594036434 
data(p1012):doors(A,3):-0.7978251510896186 
data(p1012):persons(A,4):1.78456806530728 
data(p1012):lugboot(A,med):-0.08153139004800264 
data(p1012):safety(A,low):-4.551581929234813 
data(p304):buying(A,vhigh):-1.081264029363638 
data(p304):maint(A,med):1.811512281981532 
data(p304):doors(A,morethanfive):0.4466055223704303 
data(p304):persons(A,2):-3.217438254516609 
data(p304):lugboot(A,big):0.8909299298929446 
data(p304):safety(A,low):-3.1258983400789027 
data(p49):buying(A,vhigh):-2.2429575029769317 
data(p49):maint(A,vhigh):-2.7591529471127823 
data(p49):doors(A,3):0.07382243189162954 
data(p49):persons(A,more):2.763030051363522 
data(p49):lugboot(A,med):0.5022499768929565 
data(p49):safety(A,low):-3.657535312937269 
data(p850):buying(A,high):-1.1447649653285925 
data(p850):maint(A,low):1.3176944635328756 
data(p850):doors(A,morethanfive):0.8222726792712377 
data(p850):persons(A,4):2.2848478408256283 
data(p850):lugboot(A,med):0.42361086624092653 
data(p850):safety(A,low):-4.62686508578287 
data(p1588):buying(A,low):1.7316395708063745 
data(p1588):maint(A,med):0.9371229761550932 
data(p1588):doors(A,4):0.4833708437226568 
data(p1588):persons(A,more):2.5529377325717317 
data(p1588):lugboot(A,med):0.8611258655343552 
data(p1588):safety(A,low):-4.8490817471302075 
data(p491):buying(A,high):-1.6132359260106015 
data(p491):maint(A,vhigh):-3.523853051175605 
data(p491):doors(A,4):0.9455151628040784 
data(p491):persons(A,2):-4.1323991692217765 
data(p491):lugboot(A,med):0.7012790551282846 
data(p491):safety(A,med):1.3739459052585312 
data(p574):buying(A,high):0.0025444099006679574 
data(p574):maint(A,high):0.3253875108967193 
data(p574):doors(A,3):-0.02066127512579141 
data(p574):persons(A,2):-3.1634411747652553 
data(p574):lugboot(A,big):1.0832478037922755 
data(p574):safety(A,low):-3.173725534988258 
data(p270):buying(A,vhigh):-2.1083664913613718 
data(p270):maint(A,med):1.9916865934974939 
data(p270):doors(A,3):0.24699326655979073 
data(p270):persons(A,more):2.7300972117088977 
data(p270):lugboot(A,big):0.6880858468490105 
data(p270):safety(A,high):3.2402703973710465 
data(p753):buying(A,high):-0.9320056349502928 
data(p753):maint(A,med):1.2302972470339206 
data(p753):doors(A,morethanfive):0.5095330798306356 
data(p753):persons(A,more):2.650882571691885 
data(p753):lugboot(A,med):0.7048389702776411 
data(p753):safety(A,high):3.6008964360515168 
data(p1239):buying(A,med):1.6437673984174521 
data(p1239):maint(A,low):1.3939650265634511 
data(p1239):doors(A,3):0.09772783810453252 
data(p1239):persons(A,more):3.2463280856667485 
data(p1239):lugboot(A,med):0.337080505959112 
data(p1239):safety(A,high):3.7672250948497132 
data(p1439):buying(A,low):2.4013130490445613 
data(p1439):maint(A,high):-0.24476754679500054 
data(p1439):doors(A,3):-0.2431281180370208 
data(p1439):persons(A,2):-4.905514428168269 
data(p1439):lugboot(A,big):1.3739390749822824 
data(p1439):safety(A,med):2.266659187347493 
data(p235):buying(A,vhigh):-1.3768037101119874 
data(p235):maint(A,med):1.7714299640111384 
data(p235):doors(A,2):-2.5639142680995737 
data(p235):persons(A,more):1.3080473219236697 
data(p235):lugboot(A,small):-2.493325536624607 
data(p235):safety(A,low):-3.72111422025484 
data(p635):buying(A,high):-0.6377367656474336 
data(p635):maint(A,high):-0.03906563298211272 
data(p635):doors(A,morethanfive):0.8321903713521412 
data(p635):persons(A,4):2.1099139300541987 
data(p635):lugboot(A,med):0.4888606816215861 
data(p635):safety(A,med):1.5231511998126885 
data(p78):buying(A,vhigh):-2.8622855921018235 
data(p78):maint(A,vhigh):-3.2924142177752276 
data(p78):doors(A,4):0.43830897700172744 
data(p78):persons(A,more):2.3893649473527265 
data(p78):lugboot(A,med):0.661327161884143 
data(p78):safety(A,high):3.4290876809641904 
data(p1686):buying(A,low):1.9177890070735428 
data(p1686):maint(A,low):1.331396133194521 
data(p1686):doors(A,4):0.26520416675840014 
data(p1686):persons(A,4):3.5058640572382935 
data(p1686):lugboot(A,small):-0.7306027549240705 
data(p1686):safety(A,high):4.257240935135462 
data(p545):buying(A,high):-0.48226791103232985 
data(p545):maint(A,high):0.3648852380581816 
data(p545):doors(A,2):-2.0876760770326612 
data(p545):persons(A,2):-4.3247152783719 
data(p545):lugboot(A,med):0.19023680247150643 
data(p545):safety(A,med):1.0079075202070087 
data(p393):buying(A,vhigh):-2.1552009194713784 
data(p393):maint(A,low):2.406155372201259 
data(p393):doors(A,4):0.5537565729988999 
data(p393):persons(A,4):2.6555727702846497 
data(p393):lugboot(A,med):0.36190417092820576 
data(p393):safety(A,high):3.883666812829727 
data(p1471):buying(A,low):2.60569711389383 
data(p1471):maint(A,high):-0.26309669949423453 
data(p1471):doors(A,4):0.663956945333656 
data(p1471):persons(A,4):2.5173577322343594 
data(p1471):lugboot(A,med):0.498357552667909 
data(p1471):safety(A,low):-4.6763460969846165 
data(p1098):buying(A,med):1.5595086799397462 
data(p1098):maint(A,med):0.9708091962969051 
