data(p149):a2(A,2):-0.3271161170993295 
data(p149):a3(A,2):0.595102446152216 
data(p149):a8(A,3):1.4742401341394022 
data(p149):a11(A,1):1.2703467262110786 
data(p149):a14(A,0):1.102345008396087 
data(p149):a15(A,2):0.7428928120050732 
data(p149):a1(A,a):1.002335140350076 
data(p149):a4(A,u):-0.20958389806458286 
data(p149):a5(A,g):-0.17317868471664657 
data(p149):a6(A,c):0.3070467974809297 
data(p149):a7(A,bb):0.036773326861147586 
data(p149):a9(A,t):1.7517318336413201 
data(p149):a10(A,t):0.13491713924435866 
data(p149):a12(A,t):0.07662048624800934 
data(p149):a13(A,g):-0.1383055181399316 
data(p354):a2(A,2):-1.3685704825730765 
data(p354):a3(A,1):-1.300212253279791 
data(p354):a8(A,1):-2.497031962293345 
data(p354):a11(A,0):-0.44655908901630437 
data(p354):a14(A,0):0.4994973514003677 
data(p354):a15(A,0):-0.2796264076381106 
data(p354):a1(A,b):0.5698302239241706 
data(p354):a4(A,u):-0.5478243448292085 
data(p354):a5(A,g):-0.23105128344028034 
data(p354):a6(A,d):-0.003625417897365417 
data(p354):a7(A,v):-0.17484471603765359 
data(p354):a9(A,f):-3.015034030938116 
data(p354):a10(A,f):-0.34435489308947886 
data(p354):a12(A,t):0.26989088609886325 
data(p354):a13(A,s):-0.17759897854083997 
data(p379):a2(A,2):-0.5677616383121243 
data(p379):a3(A,1):-0.6069366893168704 
data(p379):a8(A,0):0.1707266949657576 
data(p379):a11(A,0):-0.3517032365003429 
data(p379):a14(A,3):2.131911665039009 
data(p379):a15(A,2):1.275625210003143 
data(p379):a1(A,b):0.7090654705906855 
data(p379):a4(A,u):-0.5052094937976197 
data(p379):a5(A,g):-0.24589102645620503 
data(p379):a6(A,i):-0.4768902613728805 
data(p379):a7(A,bb):0.12984833098080564 
data(p379):a9(A,f):-2.464580091667094 
data(p379):a10(A,f):-0.011630636257764618 
data(p379):a12(A,t):0.4203504397141118 
data(p379):a13(A,g):-0.2085942757430825 
data(p12):a2(A,2):-1.2714930850221255 
data(p12):a3(A,1):-0.5901456439104154 
data(p12):a8(A,3):3.286358363942252 
data(p12):a11(A,0):-0.3921838803155838 
data(p12):a14(A,2):0.05587605504505556 
data(p12):a15(A,1):0.571635823636021 
data(p12):a1(A,b):0.6025743503927292 
data(p12):a4(A,u):0.09141907626242335 
data(p12):a5(A,g):-0.07872105267461182 
data(p12):a6(A,c):-0.15789571645153908 
data(p12):a7(A,h):1.335348693821394 
data(p12):a9(A,t):1.0566894790293495 
data(p12):a10(A,f):-1.1497769413014003 
data(p12):a12(A,f):1.0829423950421995 
data(p12):a13(A,g):-0.11401096492591617 
data(p89):a2(A,2):-0.8642476842917649 
data(p89):a3(A,2):1.289144060006202 
data(p89):a8(A,1):-2.035966435788864 
data(p89):a11(A,0):-0.5339486007210894 
data(p89):a14(A,2):-2.555009028243036 
data(p89):a15(A,0):-1.5783803055916605 
data(p89):a1(A,b):0.43309010469442794 
data(p89):a4(A,u):-0.4002395161227401 
data(p89):a5(A,g):-0.2299482031246192 
data(p89):a6(A,aa):-0.12212903596267707 
data(p89):a7(A,v):0.6734992602908918 
data(p89):a9(A,t):1.3215430097905236 
