data(p756):a1(A,f):-0.17670463857288382 
data(p756):a2(A,f):-0.00896483022015096 
data(p756):a3(A,f):0.07419506173638513 
data(p756):a4(A,f):0.24983482433305249 
data(p756):a5(A,f):-0.11962268879969598 
data(p756):a6(A,t):0.5299397675465477 
data(p756):a7(A,f):0.30714156510344465 
data(p756):a8(A,f):0.04049229030924693 
data(p756):a9(A,f):0.2644767960259586 
data(p756):a10(A,f):1.6496106674308657 
data(p756):a11(A,f):-0.12075638124281193 
data(p756):a12(A,f):-0.012826951658871875 
data(p756):a13(A,l):-0.012135321563835235 
data(p756):a14(A,f):0.0033005333004598432 
data(p756):a15(A,n):0.019162027225841885 
data(p756):a16(A,f):0.10555241515810994 
data(p756):a17(A,f):-0.04907254077956683 
data(p756):a18(A,f):0.37607271382292456 
data(p756):a19(A,f):0.0 
data(p756):a20(A,f):0.11824001017444279 
data(p756):a21(A,t):2.386659219772638 
data(p756):a22(A,f):0.05842204371204299 
data(p756):a23(A,f):0.17349664109409912 
data(p756):a24(A,t):-0.05184579441484101 
data(p756):a25(A,f):0.0 
data(p756):a26(A,f):0.07484276328812187 
data(p756):a27(A,f):0.08013097174557654 
data(p756):a28(A,f):0.0 
data(p756):a29(A,f):0.0004229011601465278 
data(p756):a30(A,f):0.06388419342903931 
data(p756):a31(A,f):-0.14055210124263043 
data(p756):a32(A,f):0.17140755740349994 
data(p756):a33(A,f):1.432523378878142 
data(p756):a34(A,f):0.4388831532027459 
data(p756):a35(A,t):0.39828526752037713 
data(p756):a36(A,n):-0.0557625216092669 
data(p2138):a1(A,f):-0.3916432918860262 
data(p2138):a2(A,f):-0.08557180336624173 
data(p2138):a3(A,f):0.06280183267055221 
data(p2138):a4(A,f):0.19579120349051793 
data(p2138):a5(A,t):0.09122813793678476 
data(p2138):a6(A,f):-0.4992165673647525 
data(p2138):a7(A,f):0.2766936584439915 
data(p2138):a8(A,f):0.03173922579474695 
data(p2138):a9(A,t):-0.05127953373128651 
data(p2138):a10(A,f):1.0117242945945193 
data(p2138):a11(A,t):0.1279858607487469 
data(p2138):a12(A,f):-0.08899034455186579 
data(p2138):a13(A,l):-0.006297719922547117 
data(p2138):a14(A,f):0.003063424841271465 
data(p2138):a15(A,n):-0.2972860977341748 
data(p2138):a16(A,f):0.08498573744358945 
data(p2138):a17(A,f):-0.05395778857686832 
data(p2138):a18(A,t):-0.37224479843372643 
data(p2138):a19(A,f):0.0 
data(p2138):a20(A,f):-0.0306723095152295 
data(p2138):a21(A,t):3.0080256465784285 
data(p2138):a22(A,t):-0.013621444858774973 
data(p2138):a23(A,f):0.16225630072384672 
data(p2138):a24(A,t):0.0030535249440484585 
data(p2138):a25(A,f):0.0 
data(p2138):a26(A,t):-0.005168578281573702 
data(p2138):a27(A,f):0.05649305662394098 
data(p2138):a28(A,f):0.0 
data(p2138):a29(A,f):0.0004229011601465278 
data(p2138):a30(A,f):0.049903889167064536 
data(p2138):a31(A,t):0.4339770384273172 
data(p2138):a32(A,f):0.12497169415207333 
data(p2138):a33(A,t):-1.5471398443659767 
data(p2138):a34(A,t):-0.14412317300289465 
data(p2138):a35(A,f):-2.14005208132484 
data(p2138):a36(A,n):0.0240027876034867 
data(p551):a1(A,f):-0.2697230381665996 
data(p551):a2(A,f):-0.046252870477009544 
data(p551):a3(A,f):0.06823491858328982 
data(p551):a4(A,f):0.2423942646233378 
data(p551):a5(A,f):-0.1682231010732848 
data(p551):a6(A,t):0.7126578696592317 
data(p551):a7(A,f):0.10281769863866373 
data(p551):a8(A,f):0.034566690036304075 
data(p551):a9(A,f):0.20624743896374742 
data(p551):a10(A,f):2.1858229132588156 
data(p551):a11(A,f):-0.43708166675464777 
data(p551):a12(A,t):0.07081641163991756 
data(p551):a13(A,g):0.0012283298119381957 
data(p551):a14(A,f):0.0032699542997646916 
data(p551):a15(A,n):0.10185962532909992 
data(p551):a16(A,f):0.11046855633732584 
data(p551):a17(A,f):-0.053827407405384664 
data(p551):a18(A,t):-0.1228405570058631 
data(p551):a19(A,f):0.0 
data(p551):a20(A,f):0.054030000376017816 
data(p551):a21(A,f):-1.3739791980480431 
data(p551):a22(A,f):0.022948181736536448 
data(p551):a23(A,f):0.15487977319678034 
data(p551):a24(A,f):0.07880030662993681 
data(p551):a25(A,f):0.0 
data(p551):a26(A,t):-0.05318592034591401 
data(p551):a27(A,f):0.06362520956308831 
data(p551):a28(A,f):0.0 
data(p551):a29(A,f):0.0004229011601465278 
data(p551):a30(A,f):0.03490322617053453 
data(p551):a31(A,f):-0.04420424177013829 
data(p551):a32(A,f):0.19021702965940318 
data(p551):a33(A,f):2.09804861009387 
data(p551):a34(A,t):-0.21621288953482395 
data(p551):a35(A,t):0.3159412108161961 
data(p551):a36(A,n):0.18129567861664211 
data(p227):a1(A,f):-0.3492417421654131 
data(p227):a2(A,f):-0.11044961211759947 
data(p227):a3(A,f):0.07321851960143541 
data(p227):a4(A,f):0.2433827573647301 
data(p227):a5(A,f):-0.03471844545437232 
data(p227):a6(A,t):0.8267092495746112 
data(p227):a7(A,f):0.208795456517301 
data(p227):a8(A,f):0.04503156025297169 
data(p227):a9(A,f):0.29334593861361197 
data(p227):a10(A,f):2.0395260149223513 
data(p227):a11(A,t):-0.07087926157985493 
data(p227):a12(A,f):-0.08923694093202726 
data(p227):a13(A,l):-0.036171982324683986 
data(p227):a14(A,f):0.003766016938406764 
data(p227):a15(A,n):-0.4530008327067419 
data(p227):a16(A,f):0.10969691040336063 
data(p227):a17(A,f):-0.05342449279710021 
data(p227):a18(A,f):1.0766676536922493 
data(p227):a19(A,f):0.0 
data(p227):a20(A,f):0.25456088163971435 
data(p227):a21(A,f):-1.3560560873707792 
data(p227):a22(A,f):0.04022934855283344 
data(p227):a23(A,f):0.12398479785836633 
data(p227):a24(A,f):0.1280577872659215 
data(p227):a25(A,f):0.0 
data(p227):a26(A,t):-0.015914226470028898 
data(p227):a27(A,f):0.07697402291435113 
data(p227):a28(A,f):0.0 
data(p227):a29(A,f):0.0004229011601465278 
data(p227):a30(A,f):0.06306471922249883 
data(p227):a31(A,t):0.44490549455301903 
data(p227):a32(A,f):0.18585912503813073 
data(p227):a33(A,f):1.377052215957002 
data(p227):a34(A,f):0.060125542544065325 
data(p227):a35(A,f):-2.332414820954976 
data(p227):a36(A,n):0.08638768161271734 
data(p533):a1(A,f):-0.33429885573198204 
data(p533):a2(A,f):-0.06351686035832463 
data(p533):a3(A,f):0.06788737157594327 
data(p533):a4(A,f):0.22684961571524836 
data(p533):a5(A,f):0.09654955488252541 
data(p533):a6(A,t):0.8963913403477777 
data(p533):a7(A,t):-0.13392524438669226 
data(p533):a8(A,f):0.02824118438133105 
data(p533):a9(A,f):0.14471564893410307 
data(p533):a10(A,f):1.892836253609765 
data(p533):a11(A,t):0.2658078828301763 
data(p533):a12(A,t):0.4916994834289496 
data(p533):a13(A,l):0.05814386988830609 
data(p533):a14(A,f):0.0037689440780470595 
data(p533):a15(A,w):2.707289914056597 
data(p533):a16(A,f):0.10740221416102123 
data(p533):a17(A,f):-0.04992512219747445 
data(p533):a18(A,t):-0.10843576684374791 
data(p533):a19(A,f):0.0 
data(p533):a20(A,f):0.02588999945923357 
data(p533):a21(A,f):-1.350001745774267 
data(p533):a22(A,f):0.033728708911440856 
data(p533):a23(A,f):0.1340571568283622 
data(p533):a24(A,f):0.05947521153322832 
data(p533):a25(A,f):0.0 
data(p533):a26(A,t):0.029470443178845084 
data(p533):a27(A,f):0.05841793939454386 
data(p533):a28(A,f):0.0 
data(p533):a29(A,f):0.003747009656562437 
data(p533):a30(A,f):0.035165219409867984 
data(p533):a31(A,f):-0.0402112537158277 
data(p533):a32(A,f):0.2093852206997671 
data(p533):a33(A,f):1.9599657744646906 
data(p533):a34(A,t):-0.04357549399000463 
data(p533):a35(A,f):-1.2611643638407664 
data(p533):a36(A,n):0.0957479980329909 
data(p2274):a1(A,f):-0.19213506401229358 
data(p2274):a2(A,t):0.23839364191808554 
data(p2274):a3(A,f):0.06300021846885508 
data(p2274):a4(A,t):-0.6395506911190324 
data(p2274):a5(A,t):0.3922160893898771 
data(p2274):a6(A,t):0.3731616943165837 
data(p2274):a7(A,f):0.3678507079453489 
data(p2274):a8(A,f):0.046611265424460084 
data(p2274):a9(A,t):-0.09063635676878097 
data(p2274):a10(A,f):1.5538419320356622 
data(p2274):a11(A,f):-0.0008370493963533576 
data(p2274):a12(A,f):-0.007441034318669647 
data(p2274):a13(A,l):-0.08418425133756083 
data(p2274):a14(A,f):0.0034656839350698607 
data(p2274):a15(A,n):-0.009325039849527664 
data(p2274):a16(A,t):-1.218904696334036 
data(p2274):a17(A,f):-0.050109569049011114 
data(p2274):a18(A,f):0.28189521312494203 
data(p2274):a19(A,f):0.0 
data(p2274):a20(A,f):0.1001429638653306 
data(p2274):a21(A,t):2.3547814905062916 
data(p2274):a22(A,t):-0.15711122475211364 
data(p2274):a23(A,f):0.14364844059296938 
data(p2274):a24(A,f):0.28128590910901574 
data(p2274):a25(A,f):0.0 
data(p2274):a26(A,f):0.18589992004187314 
data(p2274):a27(A,f):0.07480491508925219 
data(p2274):a28(A,f):0.0 
data(p2274):a29(A,f):0.0004229011601465278 
data(p2274):a30(A,f):0.057580692269676326 
data(p2274):a31(A,f):-0.2690024079209617 
data(p2274):a32(A,f):0.14198671505990804 
data(p2274):a33(A,f):1.671412199091077 
data(p2274):a34(A,f):0.13153892725492272 
data(p2274):a35(A,t):0.32480696647590707 
data(p2274):a36(A,n):-0.03595349948804275 
data(p2437):a1(A,f):-0.30547183400138456 
data(p2437):a2(A,f):-0.04994894651665721 
data(p2437):a3(A,f):0.06376517642796171 
data(p2437):a4(A,f):0.14733762139511686 
data(p2437):a5(A,t):0.3725056179318782 
data(p2437):a6(A,f):-0.9632937439953101 
data(p2437):a7(A,t):-0.3717842218599114 
data(p2437):a8(A,t):-0.03983407005415062 
data(p2437):a9(A,t):-0.10636431163004885 
data(p2437):a10(A,t):-3.28376838211864 
data(p2437):a11(A,f):0.007966197781822986 
data(p2437):a12(A,f):-0.021885483399928705 
data(p2437):a13(A,g):0.2353265746934797 
data(p2437):a14(A,f):0.002707295312630796 
data(p2437):a15(A,n):0.113790884060228 
data(p2437):a16(A,f):0.083891892675156 
data(p2437):a17(A,f):-0.05664856000563263 
data(p2437):a18(A,t):-0.03695548490745475 
data(p2437):a19(A,f):0.0 
data(p2437):a20(A,f):0.026805580560910473 
data(p2437):a21(A,f):-1.8760436031607202 
data(p2437):a22(A,t):-0.07734044973019265 
data(p2437):a23(A,f):0.18969123422840456 
data(p2437):a24(A,f):-0.02240217045849335 
data(p2437):a25(A,f):0.0 
data(p2437):a26(A,f):0.3338867937453752 
data(p2437):a27(A,f):0.06049232735015882 
data(p2437):a28(A,f):0.0 
data(p2437):a29(A,f):0.00031856310424634393 
data(p2437):a30(A,f):0.03470147271219245 
data(p2437):a31(A,f):-0.07999999918755442 
data(p2437):a32(A,f):0.15379568942753488 
data(p2437):a33(A,f):1.5943397421558696 
data(p2437):a34(A,f):0.045301552667106094 
data(p2437):a35(A,t):0.3582265659600185 
data(p2437):a36(A,n):-0.010705017499895109 
data(p2657):a1(A,f):-0.21711906371176257 
data(p2657):a2(A,f):-0.047129968343290626 
data(p2657):a3(A,f):0.0635325428463504 
data(p2657):a4(A,f):0.18201236383053387 
data(p2657):a5(A,t):0.28702624974433905 
data(p2657):a6(A,t):0.2501321943276453 
data(p2657):a7(A,f):0.420905320371737 
data(p2657):a8(A,t):-0.03173481375565886 
data(p2657):a9(A,t):-0.23188943146578386 
data(p2657):a10(A,t):-2.9075421312394285 
