data(p87):a1(A,1):-0.29557053869733513 
data(p87):a2(A,2):-0.11287823553912656 
data(p87):a3(A,3):-0.03723323818395434 
data(p87):a4(A,3):0.5980485750058225 
data(p87):a5(A,0):-0.5225661445549498 
data(p87):a6(A,0):-0.20294896241299493 
data(p87):a7(A,2):0.05977947853782914 
data(p87):a8(A,3):-0.387290504404187 
data(p87):a9(A,2):0.6175703433934945 
data(p87):a10(A,1):-0.5527245025580081 
data(p87):a11(A,1):-0.26496673977763946 
data(p87):a12(A,1):-0.49996172020429364 
data(p87):a13(A,1):-0.11232862728154602 
data(p87):a14(A,3):0.08976439007506193 
data(p87):a15(A,3):-0.9654932343478861 
data(p87):a16(A,3):-0.22704675575401764 
data(p87):a17(A,3):-0.11086907154938977 
data(p87):a18(A,2):-0.14941866005534557 
data(p87):a19(A,1):0.22238091489948564 
data(p87):a20(A,0):-0.09003255405704284 
data(p87):a21(A,1):-1.0582873739354448 
data(p87):a22(A,2):-0.11354443127007662 
data(p87):a23(A,3):0.9504633651253077 
data(p87):a24(A,3):0.2770223995438813 
data(p87):a25(A,2):-0.04294000738465683 
data(p87):a26(A,1):-0.00046008493392897965 
data(p87):a27(A,1):-0.5403462044167767 
data(p87):a28(A,1):-0.3289410670829134 
data(p87):a29(A,1):-0.4631528079249392 
data(p87):a30(A,1):-0.12119523035762021 
data(p87):a31(A,1):0.209717534669421 
data(p87):a32(A,0):0.14365608326114118 
data(p87):a33(A,0):-0.1259220762183715 
data(p87):a34(A,0):0.10089913424696727 
data(p87):a35(A,2):-0.42589599167181025 
data(p87):a36(A,3):-1.4425414291162488 
data(p87):a37(A,3):-0.44405839647553597 
data(p87):a38(A,2):0.2683973451037659 
data(p87):a39(A,0):-0.4109735958910249 
data(p87):a40(A,1):0.28867430895219537 
data(p87):a41(A,3):0.20493940847759365 
data(p87):a42(A,3):0.15803613215026988 
data(p87):a43(A,2):0.033769677940291766 
data(p87):a44(A,2):0.30004632016681865 
data(p87):a45(A,2):0.01414471841905884 
data(p87):a46(A,2):0.04111985117491026 
data(p87):a47(A,3):0.08970782886949603 
data(p87):a48(A,3):0.41706457650447715 
data(p87):a49(A,3):0.11153866906423136 
data(p87):a50(A,3):-0.2873380433017233 
data(p87):a51(A,2):0.8920059726872679 
data(p87):a52(A,1):-0.7204301512682179 
data(p87):a53(A,0):-0.024616646784149154 
data(p87):a54(A,2):-0.29225634228920855 
data(p87):a55(A,0):0.5891688653911576 
data(p87):a56(A,1):-0.17816969800704355 
data(p87):a57(A,2):-0.10481212862601916 
data(p87):a58(A,1):-0.17335934697930944 
data(p87):a59(A,2):-0.003393330581818798 
