data(p140):handicapped_infants(A,y):0.2116940106905232 
data(p140):water_project_cost_sharing(A,n):-0.17587100619560783 
data(p140):budget_resolution(A,y):1.0299436103228576 
data(p140):physician_fee_freeze(A,n):1.6720927470902438 
data(p140):el_salvador_aid(A,n):-0.3226001521300871 
data(p140):religious_groups_in_schools(A,y):0.22469564542200535 
data(p140):anti_satellite_test_ban(A,y):-0.1862268909405914 
data(p140):aid_to_nicaraguan_contras(A,y):0.4036130306436024 
data(p140):mx_missile(A,y):1.69484289443903 
data(p140):immigration(A,n):0.5918862180949269 
data(p140):synfuels_corporation_cutback(A,n):-1.2732536884522998 
data(p140):education_spending(A,n):1.197446050649947 
data(p140):superfund_right_to_sue(A,n):0.4298474768642691 
data(p140):crime(A,n):0.21469801622429788 
data(p140):duty_free_exports(A,y):0.11819145606065692 
data(p140):export_administration_act_south_africa(A,y):-0.3769883664914608 
data(p81):handicapped_infants(A,y):0.07968468155480793 
data(p81):water_project_cost_sharing(A,n):-0.14884682605768837 
data(p81):budget_resolution(A,y):1.1937617698452745 
data(p81):physician_fee_freeze(A,n):1.7628360903177676 
data(p81):el_salvador_aid(A,n):-0.33663408609772916 
data(p81):religious_groups_in_schools(A,y):0.2614716279863086 
data(p81):anti_satellite_test_ban(A,y):-0.21346097431270414 
data(p81):aid_to_nicaraguan_contras(A,y):0.4023564238655501 
data(p81):mx_missile(A,y):1.6418156299951223 
data(p81):immigration(A,y):-0.8396271068767568 
data(p81):synfuels_corporation_cutback(A,n):-1.295843321217801 
data(p81):education_spending(A,y):0.8642849584899003 
data(p81):superfund_right_to_sue(A,n):0.431846341753314 
data(p81):crime(A,y):0.030439587961898766 
data(p81):duty_free_exports(A,n):-0.561758081333343 
data(p47):handicapped_infants(A,y):0.1931903520863101 
data(p47):water_project_cost_sharing(A,y):1.7743994141251063 
data(p47):budget_resolution(A,y):1.0792638986503733 
data(p47):physician_fee_freeze(A,n):1.639494956405878 
data(p47):el_salvador_aid(A,n):-0.3324854794339858 
data(p47):religious_groups_in_schools(A,n):-0.29468378313572485 
data(p47):anti_satellite_test_ban(A,y):-0.2165093864856301 
data(p47):aid_to_nicaraguan_contras(A,y):0.4094923316940241 
data(p47):mx_missile(A,y):1.640215984804245 
data(p47):immigration(A,n):0.7096831726852263 
data(p47):synfuels_corporation_cutback(A,n):-1.2889065022779451 
data(p47):education_spending(A,n):1.1307810784372496 
data(p47):superfund_right_to_sue(A,n):0.43392038219849544 
data(p47):crime(A,n):0.23146444752196652 
data(p47):duty_free_exports(A,n):-0.5087041994325182 
data(p47):export_administration_act_south_africa(A,y):-0.40495797385071614 
data(p219):handicapped_infants(A,y):0.21063284074120822 
data(p219):budget_resolution(A,y):1.0280038942370495 
data(p219):physician_fee_freeze(A,n):1.5135024008437445 
data(p219):el_salvador_aid(A,n):-0.3226001521300871 
data(p219):religious_groups_in_schools(A,n):-0.2920877847889192 
data(p219):anti_satellite_test_ban(A,y):-0.1900033990948823 
data(p219):aid_to_nicaraguan_contras(A,y):0.4094923316940241 
data(p219):mx_missile(A,y):1.749225288615687 
data(p219):immigration(A,n):0.6631254920222708 
data(p219):education_spending(A,n):1.2014824195811802 
data(p219):superfund_right_to_sue(A,n):0.4358220561331681 
data(p219):crime(A,n):0.15705210380245724 
data(p219):duty_free_exports(A,y):0.1130244950805846 
data(p86):handicapped_infants(A,n):0.5324761343529817 
data(p86):water_project_cost_sharing(A,n):-0.1347262122503693 
data(p86):budget_resolution(A,y):1.4073796471618776 
data(p86):physician_fee_freeze(A,n):1.5522767270765483 
data(p86):el_salvador_aid(A,y):-0.12512856379236217 
data(p86):religious_groups_in_schools(A,y):0.2614716279863086 
data(p86):anti_satellite_test_ban(A,n):-0.26054480436651795 
data(p86):aid_to_nicaraguan_contras(A,n):2.119516579409677 
data(p86):mx_missile(A,n):0.14487830752695452 
data(p86):immigration(A,y):-0.7802477188998455 
data(p86):synfuels_corporation_cutback(A,y):0.20902012301312325 
data(p86):education_spending(A,y):0.9019844745558684 
data(p86):superfund_right_to_sue(A,y):-0.1495293956883678 
data(p86):crime(A,y):0.04716411315988375 
data(p86):duty_free_exports(A,n):-0.35959876107785693 
data(p86):export_administration_act_south_africa(A,y):-0.39259602682121514 
data(p335):handicapped_infants(A,n):0.4629894224099194 
data(p335):water_project_cost_sharing(A,y):1.8150226230691031 
data(p335):budget_resolution(A,y):1.1702860228058254 
data(p335):physician_fee_freeze(A,n):1.4483013420065272 
data(p335):el_salvador_aid(A,n):-0.3455238573585942 
data(p335):religious_groups_in_schools(A,y):0.22299144175941207 
data(p335):anti_satellite_test_ban(A,y):-0.18964883476021052 
data(p335):aid_to_nicaraguan_contras(A,y):0.40881672524402374 
data(p335):immigration(A,n):0.556775718321014 
data(p335):synfuels_corporation_cutback(A,y):0.23333608728307906 
data(p335):education_spending(A,y):0.8437991077201086 
data(p335):superfund_right_to_sue(A,n):0.48886625756592395 
data(p335):crime(A,n):0.160809103381142 
data(p335):duty_free_exports(A,y):0.1098100245292234 
data(p335):export_administration_act_south_africa(A,y):-0.40894615136963025 
data(p82):handicapped_infants(A,y):0.10730679395606121 
data(p82):water_project_cost_sharing(A,n):-0.15412533843958068 
data(p82):budget_resolution(A,y):1.1477713130034903 
data(p82):physician_fee_freeze(A,n):1.599550022945111 
data(p82):el_salvador_aid(A,n):-0.3218101235272257 
data(p82):religious_groups_in_schools(A,n):-0.23695513305081095 
data(p82):anti_satellite_test_ban(A,y):-0.21723748246699495 
data(p82):aid_to_nicaraguan_contras(A,y):0.4023564238655501 
data(p82):immigration(A,y):-0.8469433205989473 
data(p82):synfuels_corporation_cutback(A,y):0.266172112788413 
data(p82):education_spending(A,y):0.9331082222443626 
data(p82):superfund_right_to_sue(A,n):0.45266342266460974 
data(p82):crime(A,y):0.030439587961898766 
data(p82):duty_free_exports(A,n):-0.46830155304976306 
data(p82):export_administration_act_south_africa(A,y):-0.3745139377728301 
data(p108):handicapped_infants(A,n):0.49374481251227537 
data(p108):crime(A,y):0.021973200205942588 
data(p262):handicapped_infants(A,y):0.2019544599204943 
data(p262):water_project_cost_sharing(A,n):-0.16212137539700602 
data(p262):budget_resolution(A,y):1.1460899084723215 
data(p262):physician_fee_freeze(A,n):1.552134339296713 
data(p262):el_salvador_aid(A,n):-0.32277381622563006 
data(p262):anti_satellite_test_ban(A,y):-0.20117481688982738 
data(p262):aid_to_nicaraguan_contras(A,y):0.4036130306436024 
data(p262):mx_missile(A,y):1.7674124855543087 
data(p262):immigration(A,n):0.6624042004848648 
data(p262):superfund_right_to_sue(A,n):0.4597508155992997 
data(p390):handicapped_infants(A,y):0.14403636049184812 
data(p390):water_project_cost_sharing(A,n):-0.1827423392917261 
data(p390):budget_resolution(A,y):0.9969666310046342 
data(p390):physician_fee_freeze(A,n):1.392058681715628 
data(p390):el_salvador_aid(A,n):-0.3180022778542086 
data(p390):religious_groups_in_schools(A,n):-0.2842968058592169 
data(p390):anti_satellite_test_ban(A,y):-0.17678176686729166 
data(p390):aid_to_nicaraguan_contras(A,y):0.4036130306436024 
data(p390):mx_missile(A,y):1.7516906253803415 
data(p390):synfuels_corporation_cutback(A,y):0.24061061482707283 
data(p390):education_spending(A,n):1.17239722263593 
data(p390):superfund_right_to_sue(A,n):0.41668807965127036 
data(p390):crime(A,n):0.15705210380245724 
data(p390):duty_free_exports(A,y):0.13568866032477614 
data(p395):handicapped_infants(A,y):0.2496954978484378 
data(p395):water_project_cost_sharing(A,y):1.8571389819676842 
data(p395):religious_groups_in_schools(A,y):0.24498288015257194 
data(p395):anti_satellite_test_ban(A,n):-0.31290110031044494 
data(p395):aid_to_nicaraguan_contras(A,n):2.2240366875802655 
data(p395):mx_missile(A,n):0.13278314639968736 
data(p395):immigration(A,n):0.7339248260238517 
data(p395):synfuels_corporation_cutback(A,y):0.6693878923660646 
data(p395):education_spending(A,n):1.4418064600593181 
data(p395):superfund_right_to_sue(A,y):-0.22450712376280618 
data(p395):crime(A,n):0.12487437093916084 
data(p395):duty_free_exports(A,n):-0.3196961908974775 
data(p395):export_administration_act_south_africa(A,y):-0.5083668404764745 
data(p133):handicapped_infants(A,n):0.5546652563347352 
data(p133):water_project_cost_sharing(A,n):-0.10011742550023522 
data(p133):budget_resolution(A,n):-1.036589610542342 
data(p133):physician_fee_freeze(A,y):-4.754368980250471 
data(p133):el_salvador_aid(A,y):-0.19384554590917438 
data(p133):religious_groups_in_schools(A,y):0.2282685778288082 
data(p133):anti_satellite_test_ban(A,n):-0.2975952359100459 
data(p133):aid_to_nicaraguan_contras(A,n):2.2064658381093483 
data(p133):mx_missile(A,n):0.1383589590864847 
data(p133):immigration(A,y):-0.7827715754101295 
data(p133):synfuels_corporation_cutback(A,n):-1.2054855263284405 
data(p133):education_spending(A,y):0.9168257359575565 
data(p133):superfund_right_to_sue(A,y):-0.0633998068428534 
data(p133):crime(A,y):0.04716411315988375 
data(p133):duty_free_exports(A,n):-0.36137477491513037 
data(p180):handicapped_infants(A,y):0.09200333225930435 
data(p180):water_project_cost_sharing(A,n):-0.17587100619560783 
data(p180):budget_resolution(A,y):1.039176184572698 
data(p180):physician_fee_freeze(A,n):1.7349333845304433 
data(p180):el_salvador_aid(A,n):-0.3226001521300871 
data(p180):religious_groups_in_schools(A,n):-0.2920877847889192 
data(p180):anti_satellite_test_ban(A,y):-0.1730052587130008 
data(p180):aid_to_nicaraguan_contras(A,y):0.4036130306436024 
data(p180):mx_missile(A,y):1.6961595597247905 
data(p180):immigration(A,y):-0.8503814279377055 
data(p180):synfuels_corporation_cutback(A,n):-1.2647367628194617 
data(p180):education_spending(A,n):1.133982480853643 
data(p180):superfund_right_to_sue(A,n):0.3895603171137955 
data(p180):crime(A,n):0.2316895977635152 
data(p180):duty_free_exports(A,y):0.15237372056514548 
data(p180):export_administration_act_south_africa(A,y):-0.37399969946482753 
data(p293):handicapped_infants(A,y):0.12023339568070739 
data(p293):water_project_cost_sharing(A,n):-0.16695084047933956 
data(p293):budget_resolution(A,y):1.1378537167976877 
data(p293):physician_fee_freeze(A,n):1.5256700533364922 
data(p293):el_salvador_aid(A,n):-0.3241562855119863 
data(p293):religious_groups_in_schools(A,y):0.27675731264612263 
data(p293):anti_satellite_test_ban(A,y):-0.1768272647714649 
data(p293):aid_to_nicaraguan_contras(A,y):0.4036130306436024 
data(p293):mx_missile(A,n):0.1650648393412419 
data(p293):immigration(A,y):-0.8052958616362318 
data(p293):synfuels_corporation_cutback(A,y):0.16886917821444056 
data(p293):education_spending(A,n):1.2888094766186737 
data(p293):superfund_right_to_sue(A,y):-0.13369008985641054 
data(p293):crime(A,y):0.04022447479520131 
data(p293):duty_free_exports(A,y):0.1579043903507509 
data(p293):export_administration_act_south_africa(A,y):-0.37760504829029734 
data(p12):handicapped_infants(A,n):0.44162988965785427 
data(p12):water_project_cost_sharing(A,y):1.9370601001663654 
data(p12):budget_resolution(A,n):-1.2607356375816474 
data(p12):physician_fee_freeze(A,y):-4.544903683141402 
data(p12):el_salvador_aid(A,y):-0.1458659403930821 
data(p12):religious_groups_in_schools(A,y):0.21548467609492292 
data(p12):anti_satellite_test_ban(A,n):-0.2977249977544911 
data(p12):aid_to_nicaraguan_contras(A,n):2.1674027625274603 
data(p12):mx_missile(A,n):0.10201632951361038 
data(p12):immigration(A,n):0.7372938293421768 
data(p12):synfuels_corporation_cutback(A,y):0.779325393010168 
data(p12):superfund_right_to_sue(A,y):-0.21196296665055056 
data(p12):crime(A,y):0.07037421594311691 
data(p272):handicapped_infants(A,n):0.4925541890481477 
data(p272):water_project_cost_sharing(A,y):1.7811461255297771 
data(p272):budget_resolution(A,y):1.0696553911895286 
data(p272):physician_fee_freeze(A,n):1.5197262168336942 
data(p272):el_salvador_aid(A,n):-0.3315508832247081 
